model,accuracy,balanced_accuracy,macro_f1,weighted_f1,auc,benign_precision,benign_recall,benign_f1,malignant_precision,malignant_recall,malignant_f1,normal_precision,normal_recall,normal_f1
openai_clip_vit_b16,0.5894736842105263,0.45850800090151,0.4589312850714586,0.5341829375204815,0.7115244227262482,0.5897435897435898,0.9019607843137256,0.7131782945736435,0.6666666666666666,0.2068965517241379,0.3157894736842105,0.5,0.2666666666666666,0.3478260869565217
biomedclip_vit_b16,0.4210526315789473,0.4787018255578093,0.3924397627470651,0.3529396316706545,0.774506372036798,0.875,0.1372549019607843,0.2372881355932203,0.358974358974359,0.9655172413793104,0.5233644859813084,0.5555555555555556,0.3333333333333333,0.4166666666666667
unimedclip,0.30526315789473685,0.3967996393959883,0.3041644585762233,0.30966097676623994,0.5876767676767677,0.6470588235294118,0.21568627450980393,0.3235294117647059,0.3684210526315789,0.2413793103448276,0.2916666666666667,0.1864406779661017,0.7333333333333333,0.2972972972972973
