k,best_epoch_mean,best_val_macro_f1_mean,best_val_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_auc_mean,test_auc_std
1,13.0,0.47091752986575564,0.0955995775547309,0.5094736842105263,0.12337712281947101,0.45959012406963407,0.11687531313605408,0.6914385641403896,0.12030903039375396
2,28.7,0.5547553274024397,0.12928934266897335,0.5673684210526316,0.11363763395020128,0.5206406160960586,0.12608245751560693,0.728636517302846,0.1570226899941379
4,34.2,0.6805466448938884,0.07194864521006278,0.6557894736842105,0.04682600419776348,0.6301827230731808,0.06369424060320143,0.8175003636773412,0.03844119006436895
8,43.0,0.6903075049831644,0.030427480402303347,0.6589473684210526,0.033361022663872864,0.6506910876399438,0.033271816892193246,0.8309636476325117,0.016480607872247192
16,33.8,0.7538301545761513,0.03343212464753755,0.6957894736842105,0.04310223196933872,0.6854509538817031,0.04135787577326751,0.8582345923740448,0.03373037291114137
32,27.5,0.7703553037130048,0.030433397010194686,0.6947368421052632,0.03401880601695669,0.6975342407650234,0.03274458575230486,0.865013829983404,0.017788626727084002
