k,best_epoch_mean,best_val_macro_f1_mean,best_val_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_auc_mean,test_auc_std
1,22.8,0.38593461729991424,0.06936011786789048,0.3926315789473684,0.08184544285328921,0.33601851060366944,0.0467433566714248,0.55146054356957,0.05454671792564102
2,31.6,0.42439862557672364,0.07769156577858781,0.3726315789473684,0.07108186533109108,0.3411193445893076,0.0646657137842165,0.565579722171,0.06949248104270904
4,31.7,0.4504285421049051,0.14150215141450834,0.45473684210526316,0.14085873030140425,0.40873495341907606,0.12765592872695103,0.6480078421128117,0.08954994786794546
8,20.0,0.4554533221916799,0.07877248170165531,0.45473684210526316,0.07668091721907501,0.4005713710403785,0.09951380098830094,0.6109922500870777,0.07488282851596093
16,27.1,0.5352815251842532,0.04034582660636953,0.4663157894736842,0.07909148639045885,0.43475017585965886,0.0810822726532573,0.689628731534411,0.06511273489584485
32,42.1,0.6264597804470118,0.08320412984271858,0.5863157894736842,0.07656040650933972,0.5738127771096329,0.08450707566256348,0.788823821378081,0.0768501659409357
