model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
unimedclip,fewshot_lora,8,3,24,13,0.36586710780259163,0.37894736842105264,0.27503420274504614,0.5646469768680722,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,4,24,33,0.6414373914860201,0.631578947368421,0.587967587967588,0.7540516216936095,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,5,24,3,0.49943883277216616,0.49473684210526314,0.4069134446492937,0.5635867293625915,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,6,24,2,0.4142036124794745,0.47368421052631576,0.3086529884032114,0.5653322781568219,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,7,24,19,0.44441898652002904,0.4421052631578947,0.4314814814814814,0.5695020693752945,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,8,24,6,0.48033562166285276,0.45263157894736844,0.43833067517278046,0.6183154567992296,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,9,24,61,0.4701326585384556,0.4,0.3943100008673779,0.6854962402934005,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,10,24,3,0.40259462759462766,0.35789473684210527,0.25815193635807326,0.5346894400393386,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,1,48,68,0.5560627881488728,0.49473684210526314,0.4935156569719035,0.7078605527895588,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,2,48,16,0.5351621539923134,0.3894736842105263,0.3760467213466741,0.6237017743356486,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,3,48,30,0.575962441314554,0.49473684210526314,0.44174776723136694,0.7497473723031532,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,4,48,30,0.49087509031408044,0.3263157894736842,0.31871345029239767,0.6940445018132645,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,5,48,24,0.5290734224724373,0.5789473684210527,0.5688538813946851,0.7461682238203536,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,6,48,38,0.5633116883116883,0.5578947368421052,0.5401587301587302,0.7802663552359292,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,7,48,37,0.57478450317325,0.43157894736842106,0.4220361606601141,0.734579722171,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,8,48,4,0.5504450006953137,0.47368421052631576,0.3970136144049188,0.6490232958387115,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,9,48,18,0.531069531069531,0.4,0.3453681570881788,0.6226283115126928,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,10,48,6,0.4460686323504914,0.5157894736842106,0.444047619047619,0.5882672055237979,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
