k,best_epoch_mean,best_val_macro_f1_mean,best_val_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_auc_mean,test_auc_std
1,28.5,0.3885809194755298,0.08730556268944092,0.4473684210526316,0.07263242647187526,0.37086076731613304,0.08716823591171914,0.5827127614891306,0.0829863285796073
2,20.9,0.40988677290781406,0.06806252339893126,0.39368421052631575,0.07073461427847946,0.3539682515453727,0.06584335349970273,0.593645271170119,0.054484507464960634
4,40.5,0.5725364681712354,0.08722337662894682,0.5073684210526316,0.08447327430626894,0.47465421476913844,0.07385408325255366,0.7145457516339869,0.057267770994475296
8,23.3,0.5546396233761299,0.0563839915249102,0.4926315789473684,0.0659798415356809,0.4673726656173621,0.0749354906333439,0.705410115352306,0.05107686495943837
16,30.4,0.657558590782242,0.09866345885529013,0.5705263157894737,0.10981951672736537,0.5613156512988846,0.10474375840487875,0.7629665672956748,0.09625561693081591
32,38.4,0.7560418485352883,0.05320879401575296,0.6557894736842105,0.07751924670906989,0.6473598798426643,0.07804267817952432,0.8375965947507529,0.05764552570350479
